1;1
2;7
3;30
4;82
5;187
6;368
7;663
8;1106
9;1747
10;2631
11;3822
12;5376
13;7369
14;9868
15;12963
16;16732
17;21277
18;26687
19;33078
20;40550
21;49231
22;59232
23;70695
24;83742
25;98527
26;115183
27;133878
28;154756
29;177997
30;203756
31;232227
32;263576
33;298009
34;335703
35;376878
36;421722
37;470467
38;523312
39;580503
40;642250
41;708811
42;780407
43;857310
44;939752
45;1028017
46;1122348
47;1223043
48;1330356
49;1444597
50;1566031
51;1694982
52;1831726
53;1976599
54;2129888
55;2291943
56;2463062
57;2643607
58;2833887
59;3034278
60;3245100
61;3466741
62;3699532
63;3943875
64;4200112
65;4468657
66;4749863
67;5044158
68;5351906
69;5673547
70;6009456
71;6360087
72;6725826
73;7107139
74;7504423
75;7918158
76;8348752
77;8796697
78;9262412
79;9746403
80;10249100
81;10771021
82;11312607
83;11874390
84;12456822
85;13060447
86;13685728
87;14333223
88;15003406
89;15696847
90;16414031
91;17155542
92;17921876
93;18713629
94;19531308
95;20375523
96;21246792
97;22145737
98;23072887
99;24028878
